薙	艹矢亻亠龶
菈	艹扌立
诶	讠厶矢
欸	厶矢⺈人
哟	口纟勺
唷	口亠厶月
啊	口阝丁口
阿	阝丁口
吖	口丫
锕	钅阝丁口
腌	月大电
爱	丿⺍冖𠂇又
艾	艹乂
哎	口艹乂
唉	口厶矢
哀	亠口𧘇
挨	扌厶矢
埃	土厶矢
矮	矢禾女
碍	石日一寸
暧	日丿⺍冖𠂇又
癌	疒口口口山
蔼	艹讠日勹人乛
隘	阝丷一八皿
皑	白山己
霭	雨讠日勹人乛
嗳	口丿⺍冖𠂇又
嫒	女丿⺍冖𠂇又
毐	士毋
叆	二厶丿⺍冖𠂇又
瑷	王丿⺍冖𠂇又
砹	石艹乂
锿	钅亠口𧘇
嗌	口丷一八皿
按	扌宀女
安	宀女
暗	日立日
案	宀女木
岸	山厂干
俺	亻大电
黯	黑立日
庵	广大电
鞍	革宀女
谙	讠立日
氨	气宀女
胺	月宀女
鹌	大电鸟
桉	木宀女
犴	犭干
唵	口大电
铵	钅宀女
埯	土大电
盦	人丶乛酉皿
垵	土宀女
𩽾	鱼宀女
昂	日丿乛卩
肮	月亠几
盎	央皿
卬	丿乛卩
傲	亻龶乛丿攵
奥	丿冂米大
熬	龶乛丿攵灬
敖	龶乛丿攵
澳	氵丿冂米大
凹	丨乛丨乛一
懊	忄丿冂米大
嗷	口龶乛丿攵
拗	扌幺力
袄	衤夭
鳌	龶乛丿攵鱼
翱	白大十习习
獒	龶乛丿攵犬
骜	龶乛丿攵马
坳	土幺力
鏖	广乛丨丨一比左匕金
遨	辶龶乛丿攵
媪	女日皿
螯	龶乛丿攵虫
岙	夭山
璈	王龶乛丿攵
鏊	龶乛丿攵金
聱	龶乛丿攵耳
廒	广龶乛丿攵
奡	一自大丿丨
隩	阝丿冂米大
薁	艹丿冂米大
嶅	龶乛丿攵山
把	扌巴
吧	口巴
八	丿ㄟ
爸	八乂巴
巴	巳丨
罢	罒土厶
拔	扌𠂇又丶
霸	雨革月
疤	疒巴
跋	⻊𠂇又丶
扒	扌八
叭	口八
芭	艹巴
靶	革巴
坝	土冂人
耙	耒巴
笆	⺮巴
魃	鬼𠂇又丶
粑	米巴
钯	钅巴
灞	氵雨革月
捌	扌口力刂
鲅	鱼𠂇又丶
岜	山巴
鲃	鱼巴
菝	艹扌𠂇又丶
蚆	虫巴
胈	月𠂇又丶
羓	⺶巴
朳	木八
妭	女𠂇又丶
白	丿日
百	一白
败	冂人攵
摆	扌罒土厶
拜	龵一丰
柏	木白
掰	龵八刀手
伯	亻白
佰	亻百
稗	禾丿丨乛一一丿十
捭	扌丿丨乛一一丿十
半	丶丿一一丨
办	力丿丶
般	舟几又
板	木丿丿又
班	王丶丿王
伴	亻半
版	片丿丿又
搬	扌舟几又
扮	扌八刀
斑	王文王
扳	扌丿丿又
瓣	立𠂇瓜立十
绊	纟半
颁	八刀一丿冂人
拌	扌半
阪	阝丿丿又
坂	土丿丿又
瘢	疒舟几又
钣	钅丿丿又
癍	疒王文王
攽	八刀攵
柈	木半
昄	日丿丿又
湴	氵丷亚
靽	革半
𨭉	文一弋止金
帮	寿上阝巾
膀	月亠丷冖方
邦	寿上阝
棒	木寿上ㄟ一一丨
绑	纟寿上阝
榜	木亠丷冖方
傍	亻亠丷冖方
磅	石亠丷冖方
梆	木寿上阝
镑	钅亠丷冖方
谤	讠亠丷冖方
蚌	虫丰
浜	氵丘八
蒡	艹亠丷冖方
玤	王丰
搒	扌亠丷冖方
塝	土亠丷冖方
𠳐	口寿上阝
保	亻口木
报	扌卩又
包	勹巳
宝	宀玉
抱	扌勹巳
暴	日艹一八氺
爆	火日艹一八氺
薄	艹氵甫寸
堡	亻口木土
饱	饣勹巳
豹	豸勺
胞	月勹巳
剥	彐氺刂
鲍	鱼勹巳
褒	亠亻口木𧘇
刨	勹巳刂
苞	艹勹巳
鸨	匕十鸟
曝	日日艹一八氺
煲	亻口木火
葆	艹亻口木
雹	雨勹巳
褓	衤亻口木
炮	火勹巳
龅	止人凵勹巳
孢	子勹巳
趵	⻊勺
枹	木勹巳
瀑	氵日艹一八氺
被	衤乛丿丨又
备	夂田
北	丨一一匕
背	丨一一匕月
呗	口冂人
杯	木不
辈	非车
悲	非心
贝	冂人
倍	亻立口
卑	丿丨乛一一丿十
惫	夂田心
碑	石丿丨乛一一丿十
狈	犭冂人
蓓	艹亻立口
悖	忄十冖子
孛	十冖子
焙	火立口
邶	丨一一匕阝
陂	阝乛丿丨又
钡	钅冂人
褙	衤丨一一匕月
碚	石立口
鞴	革艹一丿用
鐾	尸口立十金
鹎	丿丨乛一一丿十鸟
棓	木立口
糒	米艹一丿用
琲	王非
椑	木丿丨乛一一丿十
臂	尸口立十月
鞁	革乛丿丨又
𬇙	氵冂人
本	一丨丿ㄟ一
奔	大十廾
笨	⺮本
贲	十艹冂人
苯	艹本
锛	钅大十廾
畚	厶大田
犇	牛牛牛
坌	八刀土
倴	亻大十廾
栟	木丷开
崩	山月月
蹦	⻊山月月
绷	纟月月
迸	辶丷开
甭	不用
嘣	口山月月
泵	石水
镚	钅山月月
甏	士口丷一丿丿丿瓦
琫	王寿上ㄟ一一丨
祊	礻方
比	比左匕
