濛	水草丶
诶	丶乛乛丶
欸	未知
哟	口乛乛一
唷	口丶一乛
啊	口乛丨一
阿	乛丨一口
吖	口丶丿丨
锕	金乛丨
腌	月一丿丶
爱	丿丶一丿
艾	草丿丶
哎	口草丿
唉	口乛丶丿
哀	丶一口丿
挨	手乛丶
埃	土乛丶
矮	丿一丿一
碍	一丿日
暧	日丿丶
癌	丶一口口
蔼	草丶乛
隘	乛丨丶丿
皑	丿丨丨乛
霭	一丶丶乛
嗳	口丿丶丶
嫒	乛丿丿丶
毐	士乛乛
叆	一一丿丶
瑷	一一丿丶
砹	一丿草
锿	金丶一
嗌	口丶丿一
按	手丶丶
安	丶丶乛丿
暗	日丶一
案	丶丶木木
岸	丨乛一丿
俺	人一丿丶
黯	丨乛丶一
庵	丶一一丿
鞍	一丨丶丶
谙	丶乛丶一
氨	丿一丶丶
胺	月丶丶乛
鹌	一丿丿乛
桉	木丶丶乛
犴	丿乛一一
唵	口一丿丶
铵	金丶丶
埯	土一丿
盦	人丶乛
垵	土丶丶
昂	日丿乛
肮	月丶一丿
盎	丨乛丨乛
卬	未知
傲	人一一丨
奥	丿丨一丿
熬	一一丶丶
敖	一一丿一
澳	水丿丨乛
凹	丨乛丨乛
懊	丶丶丿丨
嗷	口一一丨
拗	手乛乛
袄	丶乛丿一
鳌	一一丿乛
翱	丿丨乛丶
獒	一一一丿
骜	一一乛乛
坳	土乛乛
鏖	丶一金
遨	一一丶乛
媪	乛丿日
螯	一一丨乛
岙	丿一丨乛
璈	一一一一
鏊	一一金
聱	一一一丨
廒	丶一一一
奡	一丿一丿
隩	乛丨丿丨
薁	草丿丨
嶅	一一丨乛
把	手乛丨
吧	口乛丨一
八	丿丶丶
爸	丿丶乛丨
巴	乛丨一乛
罢	丨乛土
拔	手一丿
霸	一丶一丨
疤	丶一乛丨
跋	口丨一丿
扒	手丿丶
叭	口丿丶丶
芭	草乛丨
靶	一丨乛丨
坝	土贝
耙	一一乛丨
笆	丿一乛丨
魃	丿丨一丿
粑	丶丿乛丨
钯	金乛丨
灞	水一丶乛
捌	手口乛
鲅	丿乛一丿
岜	丨乛乛丨
鲃	丿乛乛丨
菝	草手
蚆	丨乛乛丨
胈	月一丿乛
羓	丶丿乛丨
朳	木丿丶丶
妭	乛丿一丿
白	丿丨乛一
百	一丿日
败	贝丿一
摆	手丨乛
拜	丿一一一
柏	木丿丨乛
掰	丿一丿丶
伯	人丿丨乛
佰	人一丿丨
稗	丿一丿丨
捭	手丿丨
半	丶丿一一
办	乛丿丶丶
般	丿丿丿乛
板	木丿丿乛
班	一一丶丿
伴	人丶丿一
版	丿丨丿丿
搬	手丿丿
扮	手丿丶
斑	一一丶一
扳	手丿丿
瓣	丶一丿丿
绊	乛乛丶丿
颁	丿丶一丿
拌	手丶丿
阪	乛丨丿丿
坂	土丿丿
瘢	丶一丿丿
钣	金丿丿
癍	丶一一一
攽	丿丶丿
柈	木丶丿一
昄	日丿丿
湴	水丶丿一
靽	一丨丶丿
帮	一一丨乛
膀	月丶一丶
邦	一一乛丨
